file_upload,band_label,y1,y2,pixels_in_band,g_top,g_top_count,g_top_pct
19d8ec73-www-jenkins-io.png,['Supplement'],4321,4687,527040,119,509139,0.9660348360655737
19d8ec73-www-jenkins-io.png,['Footer'],4684,4795,159840,119,150693,0.942774024024024
b0e5cc0e-www-postman-com.png,['Nav'],0,53,76320,255,51253,0.6715539832285116
b0e5cc0e-www-postman-com.png,['Banner'],54,109,79200,255,49584,0.6260606060606061
b0e5cc0e-www-postman-com.png,['Header'],109,671,809280,255,611095,0.755109480031633
b0e5cc0e-www-postman-com.png,['Main'],669,5212,6541920,255,4089577,0.6251340585027025
b0e5cc0e-www-postman-com.png,['Supplement'],5211,5741,763200,255,495920,0.64979035639413
b0e5cc0e-www-postman-com.png,['Footer'],5741,5866,180000,255,149268,0.8292666666666667
44e8dc1b-zapier-com.png,['Banner'],0,51,73440,49,44870,0.6109749455337691
44e8dc1b-zapier-com.png,['Nav'],51,112,87840,250,43786,0.4984744990892532
44e8dc1b-zapier-com.png,['Header'],110,933,1185120,254,749511,0.6324346901579587
44e8dc1b-zapier-com.png,['Main'],930,17333,23620320,244,6166882,0.2610837617779945
44e8dc1b-zapier-com.png,['Supplement'],17333,17668,482400,250,348113,0.72162728026534
44e8dc1b-zapier-com.png,['Footer'],17668,17748,115200,250,107632,0.9343055555555555
3bfcbcab-cmake-org.png,['Banner'],0,48,69120,55,63762,0.9224826388888889
3bfcbcab-cmake-org.png,['Nav'],46,114,97920,112,54091,0.5523999183006536
3bfcbcab-cmake-org.png,['Header'],113,733,892800,218,377110,0.4223902329749104
3bfcbcab-cmake-org.png,['Main'],733,3824,4451040,255,1801465,0.4047290071533844
a08a3380-developer-mozilla-org.png,['Banner'],0,58,83520,19,72686,0.8702825670498084
a08a3380-developer-mozilla-org.png,['Nav'],58,186,184320,36,88151,0.4782497829861111
a08a3380-developer-mozilla-org.png,['Header'],186,505,459360,36,366068,0.7969087425983977
a08a3380-developer-mozilla-org.png,['Main'],505,2658,3100320,255,1383804,0.446342313051556
a08a3380-developer-mozilla-org.png,['Supplement'],2656,2956,432000,247,288336,0.6674444444444444
a08a3380-developer-mozilla-org.png,['Footer'],2956,3098,204480,247,130288,0.6371674491392801
d6988b0f-docs-docker-com.png,['Nav'],0,63,90720,77,65071,0.7172729276895944
d6988b0f-docs-docker-com.png,['Header'],64,959,1288800,250,457792,0.3552079453755431
d6988b0f-docs-docker-com.png,['Main'],958,2254,1866240,250,1494055,0.800569594478738
d6988b0f-docs-docker-com.png,['Supplement'],2254,2586,478080,234,245716,0.5139641900937082
d6988b0f-docs-docker-com.png,['Footer'],2586,2691,151200,234,134182,0.88744708994709
a5982292-flatpak-org.png,['Header'],0,762,1097280,255,704170,0.6417413969087198
a5982292-flatpak-org.png,['Main'],761,3619,4115520,255,1893865,0.46017635681517766
a5982292-flatpak-org.png,['Supplement'],3620,4067,643680,0,503339,0.7819708550832712
d7ce7143-jupyter-org.png,['Nav'],0,70,100800,255,76139,0.7553472222222222
d7ce7143-jupyter-org.png,['Header'],71,439,529920,127,456264,0.8610054347826087
d7ce7143-jupyter-org.png,['Main'],439,5995,8000640,255,3405921,0.42570606851451886
